,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,XTZ-USD,3.080029665405739,2.0
1,SNX-USD,ICP-USD,0.6148839997570089,2.0
2,SNX-USD,ETC-USD,0.13334028194192804,2.0
3,SNX-USD,ZEC-USD,0.08002255870237993,2.0
4,SNX-USD,LINK-USD,0.2158256919682335,3.0
5,SNX-USD,MKR-USD,0.0015000232078169714,3.0
6,SNX-USD,ATOM-USD,0.30746064800997536,2.0
7,SNX-USD,BCH-USD,0.00882036296485178,3.0
8,SNX-USD,CELO-USD,4.710440097616765,2.0
9,SNX-USD,ENJ-USD,8.948121179195587,2.0
10,SNX-USD,RUNE-USD,0.9750690400725144,5.0
11,SNX-USD,FIL-USD,0.601921273980207,2.0
12,SNX-USD,ZRX-USD,8.823332949721832,3.0
13,SNX-USD,TRX-USD,23.111029009735788,3.0
14,SNX-USD,YFI-USD,0.00038904175765117765,2.0
15,SNX-USD,COMP-USD,0.048711121953002014,2.0
16,SNX-USD,XLM-USD,19.068406618715738,3.0
17,SNX-USD,EOS-USD,3.6548996811155323,2.0
18,SNX-USD,NEAR-USD,1.8671261342343557,3.0
19,SNX-USD,ALGO-USD,21.695361293031223,2.0
20,SNX-USD,XMR-USD,0.013386747296220932,3.0
21,SNX-USD,SUSHI-USD,3.4249469839853743,5.0
22,SNX-USD,ADA-USD,7.816361558273586,2.0
23,SNX-USD,UMA-USD,1.4704108625538101,3.0
24,SNX-USD,BTC-USD,6.657512254600282e-05,2.0
25,SNX-USD,DOT-USD,0.5254377441628943,2.0
26,SNX-USD,CRV-USD,4.649573389520061,2.0
27,SNX-USD,SOL-USD,0.06941998392994322,3.0
28,SNX-USD,DOGE-USD,32.95371181440035,2.0
29,SNX-USD,LTC-USD,0.03228477720680894,2.0
30,SNX-USD,AAVE-USD,0.027915261190003118,2.0
31,SNX-USD,UNI-USD,0.5184441040296817,3.0
32,SNX-USD,MATIC-USD,3.5960795743130514,2.0
33,SNX-USD,1INCH-USD,7.791126502461535,2.0
34,SNX-USD,AVAX-USD,0.2079804057847787,2.0
35,SNX-USD,ETH-USD,0.0012485434148614477,2.0
36,XTZ-USD,ATOM-USD,0.09982726708685347,15.0
37,XTZ-USD,1INCH-USD,2.529019655907299,7.0
38,XTZ-USD,AVAX-USD,0.0674613410121603,22.0
39,ETC-USD,XLM-USD,143.0230744730411,6.0
40,ETC-USD,DOT-USD,3.9359737485614166,24.0
41,ZEC-USD,1INCH-USD,97.29818850175407,13.0
42,ZEC-USD,ETH-USD,0.015589832604470485,11.0
43,ATOM-USD,ALGO-USD,70.56462040291696,6.0
44,CELO-USD,DOT-USD,0.11151825062707205,7.0
45,FIL-USD,COMP-USD,0.08091508940760185,10.0
46,FIL-USD,BTC-USD,0.0001105558050709827,12.0
47,FIL-USD,MATIC-USD,5.9698755460828075,12.0
48,FIL-USD,1INCH-USD,12.94566421877561,11.0
49,FIL-USD,ETH-USD,0.0020741406486172,13.0
50,YFI-USD,LTC-USD,83.02448283684154,16.0
51,COMP-USD,1INCH-USD,159.9590953639581,11.0
52,ADA-USD,1INCH-USD,0.997098541580657,11.0
53,ADA-USD,AVAX-USD,0.026605307555635133,12.0
54,CRV-USD,1INCH-USD,1.6752473235588665,9.0
55,AAVE-USD,MATIC-USD,128.66847708503667,21.0
56,1INCH-USD,AVAX-USD,0.026669804276690544,17.0
